# theta_degrees,signal_power,noise_variance,fisher_ratio
-9.000000000000000000e+01,1.391484384819777904e-32,1.000000000000000222e+00,1.391484384819777630e-32
-8.900000000000000000e+01,8.460735845892704667e-04,1.000662341514817477e+00,8.455135658532645206e-04
-8.800000000000000000e+01,3.383263528021898409e-03,1.002415408510248573e+00,3.375111255572153801e-03
-8.700000000000000000e+01,7.608478655175963078e-03,1.005257065144199213e+00,7.568689561097055075e-03
-8.600000000000000000e+01,1.351657119226342720e-02,1.009183849295784086e+00,1.339356669421076264e-02
-8.500000000000000000e+01,2.110034303859991550e-02,1.014190976783390097e+00,2.080509837064593165e-02
-8.400000000000000000e+01,3.035055453638102821e-02,1.020272347193461604e+00,2.974750283085544553e-02
-8.300000000000000000e+01,4.125593572778265411e-02,1.027420551312917540e+00,4.015486713309620453e-02
-8.200000000000000000e+01,5.380320008566826656e-02,1.035626880156135243e+00,5.195230166057169391e-02
-8.100000000000000000e+01,6.797706070117562338e-02,1.044881335575506220e+00,6.505720638959905378e-02
-8.000000000000000000e+01,8.376024890846063553e-02,1.055172642442642417e+00,7.938061084919922905e-02
-7.900000000000000000e+01,1.011335353239065232e-01,1.066488262385380636e+00,9.482854982173394287e-02
-7.800000000000000000e+01,1.200757532741655170e-01,1.078814409063857394e+00,1.113034385389433251e-01
-7.700000000000000000e+01,1.405638245844901824e-01,1.092136064967042852e+00,1.287054141818235187e-01
-7.600000000000000000e+01,1.625727876959347784e-01,1.106436999709262903e+00,1.469336146013318634e-01
-7.500000000000000000e+01,1.860758280771685758e-01,1.121699789804424530e+00,1.658873700151197172e-01
-7.400000000000000000e+01,2.110443108938526435e-01,1.137905839893848192e+00,1.854672886761354056e-01
-7.300000000000000000e+01,2.374478158957754603e-01,1.155035405401851900e+00,2.055762228458825891e-01
-7.200000000000000000e+01,2.652541744792397127e-01,1.173067616591470852e+00,2.261201065715006953e-01
-7.100000000000000000e+01,2.944295088795529924e-01,1.191980503991019624e+00,2.470086615458361723e-01
-7.000000000000000000e+01,3.249382734458640121e-01,1.211751025160508810e+00,2.681559715642267694e-01
-6.900000000000000000e+01,3.567432979480635313e-01,1.232355092765309079e+00,2.894809296787659303e-01
-6.800000000000000000e+01,3.898058328629843694e-01,1.253767603922856466e+00,3.109075650410320080e-01
-6.700000000000000000e+01,4.240855965847258324e-01,1.275962470786651481e+00,3.323652586139702048e-01
-6.600000000000000000e+01,4.595408245015856763e-01,1.298912652330276529e+00,3.537888584556935223e-01
-6.500000000000000000e+01,4.961283198798065452e-01,1.322590187292725261e+00,3.751187061922453547e-01
-6.400000000000000000e+01,5.338035064921411443e-01,1.346966228244891095e+00,3.963005866804039101e-01
-6.300000000000000000e+01,5.725204829271214324e-01,1.372011076735714541e+00,4.172856128022383038e-01
-6.200000000000000000e+01,6.122320785128518850e-01,1.397694219475173139e+00,4.380300569195613170e-01
