range,impr_color_deg,impr_shape_deg,impr_color_shuf_mean_or_single,impr_shape_shuf_mean_or_single,impr_color_shuf_sem,impr_shape_shuf_sem
0.02,1.4238116249911243,2.258727402419325,0.3356032804920832,0.7332471714502151,0.022491124944324845,0.0507212489679636
0.04,2.744711009013134,4.202324853988202,0.6621397866508109,1.3849107981260813,0.04356387255162254,0.09596250983485417
0.06,3.985903941556625,5.878424033622011,0.9901914743843941,1.955044322365879,0.06649033837780222,0.13583584743062824
0.08,5.1755762397711464,7.338281227750585,1.3315443440500332,2.453852030168804,0.09427473408721135,0.1708416834918676
0.1,6.358735027879018,8.626732925637796,1.7009333627544863,2.89099202515353,0.12951267742608424,0.20196410751883773
0.14,8.878403298729669,10.806694281977443,2.5884007715433266,3.5996758501451165,0.2291689711567954,0.2596758214860962
0.18,11.543309496912517,12.528977594074775,3.7260681601823813,4.107964840304148,0.3623085548731541,0.3282458050984133
0.22,13.887832444956075,13.823785097247367,5.070034210726081,4.479741777501671,0.49893528997907677,0.4230746248407903
0.26,15.617167666022752,14.828537682775249,6.505716555743568,4.837108011998996,0.6229284314188633,0.538880482522178
0.3,16.732668283647104,15.720166468154162,7.890146979873879,5.321616162101998,0.7508882694233109,0.6621269304152839
0.34,17.30314516489278,16.520248484832507,9.12090050522653,5.975364165284447,0.8942535288952581,0.783058041993911
0.4,17.41397983798731,19.477580916598754,10.356103440510175,8.130770432406846,1.101018903821132,0.978224027466921
0.4641,17.291694650509882,21.096605790725704,11.524187671539135,8.37429495378616,1.3122104093402989,1.1713949549362648
