state,pc1,pc2,pc3,shape,color
color,4.661945653763739,-1.807280476670222,1.2004806234213715e-16,0.0,0.0
color,4.270777986793096,-0.6258834071753568,-0.0019677933116182215,0.0,0.167
color,3.881952641181563,0.5484394283704379,-0.003923803429754268,0.0,0.333
color,3.4907849742109223,1.7298364978653027,-0.005891596741372778,0.0,0.5
color,3.09961730724028,2.911233567360167,-0.007859390052991067,0.0,0.667
color,2.710791961628746,4.085556402905961,-0.009815400171126452,0.0,0.833
color,2.3196242946581047,5.266953472400825,-0.011783193482745613,0.0,1.0
color,3.522732487651557,-2.3187841108234415,0.028424858799543495,0.167,0.0
color,3.131564820680916,-1.137387041328577,0.026457065487924713,0.167,0.167
color,2.7427394750693788,0.03693579421721757,0.024501055369789256,0.167,0.333
color,2.351571808098739,1.2183328637120836,0.022533262058170765,0.167,0.5
color,1.9604041411281004,2.3997299332069475,0.020565468746551838,0.167,0.667
color,1.5715787955165657,3.574052768752742,0.01860945862841609,0.167,0.833
color,1.180411128545924,4.755449838247606,0.01664166531679814,0.167,1.0
color,2.3903409572645957,-2.8272248489637675,0.05667950886376028,0.333,0.0
color,1.9991732902939567,-1.6458277794689027,0.05471171555214156,0.333,0.167
color,1.61034794468242,-0.47150494392310904,0.052755705434005706,0.333,0.333
color,1.21918027771178,0.7098921255717572,0.05078791212238715,0.333,0.5
color,0.8280126107411392,1.8912891950666217,0.04882011881076877,0.333,0.667
color,0.43918726512960565,3.0656120306124137,0.0468641086926331,0.333,0.833
color,0.04801959815896371,4.24700910010728,0.04489631538101455,0.333,1.0
color,1.2511277911524146,-3.3387284831169857,0.08510436766330297,0.5,0.0
color,0.8599601241817743,-2.1573314136221224,0.08313657435168542,0.5,0.167
color,0.47113477857023905,-0.9830085780763288,0.08118056423354934,0.5,0.333
color,0.07996711159959813,0.19838849141853696,0.07921277092193085,0.5,0.5
color,-0.3112005553710414,1.3797855609134029,0.07724497761031192,0.5,0.667
color,-0.7000259009825759,2.554108396459197,0.0752889674921764,0.5,0.833
color,-1.0911935679532172,3.735505465954064,0.07332117418055861,0.5,1.0
color,0.11191462504023295,-3.850232117270207,0.11352922646284709,0.667,0.0
color,-0.2792530419304092,-2.668835047775343,0.11156143315122796,0.667,0.167
color,-0.6680783875419416,-1.4945122122295458,0.1096054230330925,0.667,0.333
color,-1.0592460545125844,-0.3131151427346839,0.10763762972147474,0.667,0.5
color,-1.450413721483224,0.8682819267601811,0.10566983640985486,0.667,0.667
color,-1.8392390670947592,2.042604762305975,0.10371382629172002,0.667,0.833
color,-2.230406734065399,3.224001831800845,0.10174603298010126,0.667,1.0
color,-1.020476905346726,-4.358672855410533,0.1417838765270629,0.833,0.0
color,-1.4116445723173672,-3.1772757859156666,0.13981608321544464,0.833,0.167
color,-1.800469917928902,-2.002952950369872,0.13786007309730913,0.833,0.333
color,-2.1916375848995435,-0.8215558808750094,0.1358922797856914,0.833,0.5
color,-2.582805251870183,0.3598411886198553,0.1339244864740718,0.833,0.667
color,-2.971630597481718,1.5341640241656518,0.131968476355936,0.833,0.833
color,-3.3627982644523597,2.7155610936605137,0.13000068304431683,0.833,1.0
color,-2.1596900714589076,-4.870176489563749,0.17020873532660602,1.0,0.0
color,-2.5508577384295497,-3.688779420068889,0.16824094201498793,1.0,0.167
color,-2.9396830840410857,-2.514456584523092,0.16628493189685198,1.0,0.333
color,-3.3308507510117242,-1.3330595150282276,0.16431713858523428,1.0,0.5
color,-3.722018417982367,-0.15166244553336383,0.16234934527361583,1.0,0.667
color,-4.110843763593899,1.0226603900124314,0.1603933351554791,1.0,0.833
color,-4.502011430564542,2.2040574595072964,0.15842554184386146,1.0,1.0
shape,4.661945653763739,-1.807280476670222,1.2004806234213715e-16,0.0,0.0
shape,4.230144741262161,-0.7236979484073058,-0.010798604027050004,0.0,0.167
shape,3.8009294629671775,0.353396061722299,-0.021532545754536753,0.0,0.333
shape,3.369128550465602,1.436978589985215,-0.03233114978158708,0.0,0.5
shape,2.937327637964021,2.520561118248132,-0.043129753808637185,0.0,0.667
shape,2.50811235966904,3.597655128377736,-0.053863695536123773,0.0,0.833
shape,2.0763114471674626,4.681237656640652,-0.06466229956317437,0.0,1.0
shape,3.4614615706157372,-2.51870820132953,0.011457504680694883,0.167,0.0
shape,3.029660658114159,-1.4351256730666153,0.0006589006536449714,0.167,0.167
shape,2.6004453798191762,-0.35803166293701033,-0.010075041073842163,0.167,0.333
shape,2.1686444673175997,0.7255508653259071,-0.020873645100892534,0.167,0.5
shape,1.7368435548160208,1.8091333935888212,-0.03167224912794215,0.167,0.667
shape,1.30762827652104,2.8862274037184257,-0.04240619085542871,0.167,0.833
shape,0.8758273640194618,3.969809931981343,-0.053204794882478895,0.167,1.0
shape,2.2681660149117366,-3.2258758797333957,0.02284640154893067,0.333,0.0
shape,1.8363651024101586,-2.1422933514704803,0.012047797521880796,0.333,0.167
shape,1.407149824115177,-1.0651993413408738,0.0013138557943937594,0.333,0.333
shape,0.9753489116135996,0.018383186922042393,-0.009484748232656041,0.333,0.5
shape,0.5435479991120209,1.1019657151849582,-0.02028335225970649,0.333,0.667
shape,0.11433272081703909,2.179059725314562,-0.03101729398719354,0.333,0.833
shape,-0.3174681916845387,3.2626422535774795,-0.04181589801424383,0.333,1.0
shape,1.067681931763737,-3.9373036043927057,0.034303906229625813,0.5,0.0
shape,0.6358810192621583,-2.8537210761297893,0.02350530220257557,0.5,0.167
shape,0.20666574096717685,-1.776627066000181,0.01277136047508852,0.5,0.333
shape,-0.225135171534401,-0.6930445377372669,0.0019727564480385576,0.5,0.5
shape,-0.6569360840359789,0.3905379905256492,-0.008825847579011776,0.5,0.667
shape,-1.0861513623309613,1.4676320006552535,-0.019559789306497804,0.5,0.833
shape,-1.5179522748325391,2.5512145289181714,-0.030358393333549054,0.5,1.0
shape,-0.13280215138426357,-4.648731329052012,0.045761410910320224,0.667,0.0
shape,-0.5646030638858421,-3.5651488007890966,0.03496280688327015,0.667,0.167
shape,-0.9938183421808232,-2.4880547906594908,0.02422886515578342,0.667,0.333
shape,-1.4256192546824014,-1.4044722623965769,0.013430261128733287,0.667,0.5
shape,-1.8574201671839798,-0.3208897341336589,0.00263165710168307,0.667,0.667
shape,-2.2866354454789612,0.7562042759959451,-0.00810228462580464,0.667,0.833
shape,-2.718436357980539,1.8397868042588612,-0.018900888652853064,0.667,1.0
shape,-1.326097707088265,-5.35589900745588,0.057150307778556335,0.833,0.0
shape,-1.757898619589843,-4.272316479192961,0.04635170375150533,0.833,0.167
shape,-2.187113897884824,-3.1952224690633564,0.035617762024018666,0.833,0.333
shape,-2.6189148103864004,-2.11163994080044,0.024819157996969304,0.833,0.5
shape,-3.050715722887981,-1.028057412537525,0.014020553969918777,0.833,0.667
shape,-3.4799310011829623,0.04903659759208192,0.0032866122424315136,0.833,0.833
shape,-3.911731913684541,1.1326191258549974,-0.007511991784617816,0.833,1.0
shape,-2.526581790236265,-6.06732673211519,0.06860781245925134,1.0,0.0
shape,-2.9583827027378415,-4.983744203852267,0.0578092084322009,1.0,0.167
shape,-3.387597981032827,-3.9066501937226654,0.04707526670471395,1.0,0.333
shape,-3.819398893534403,-2.82306766545975,0.036276662677664155,1.0,0.5
shape,-4.251199806035981,-1.739485137196835,0.025478058650614484,1.0,0.667
shape,-4.6804150843309635,-0.6623911270672308,0.014744116923125678,1.0,0.833
shape,-5.112215996832541,0.42119140119568793,0.00394551289607713,1.0,1.0
